Law Firm,Address,Contact,Website URL,No. Of Attorneys
"Cravath, Swaine & Moore LLP","Two Manhattan West375 Ninth AvenueNew York, NY 10001",(212) 474-1000,https://vault.com/company-profiles/law/cravath-swaine-moore-llp,1K - 1.5K
"Wachtell, Lipton, Rosen & Katz","51 West 52nd St.New York, NY 10019",(212) 403-1000,https://vault.com/company-profiles/law/wachtell-lipton-rosen-katz,250 - 500
Skadden,"One Manhattan WestNew York, NY 10001-8602",(212) 735-3000,https://vault.com/company-profiles/law/skadden-arps-slate-meagher-flom-llp-and-affiliates,3.5K - 4K
Latham & Watkins,"1271 Avenue of the AmericasNew York, NY 10020",(212) 906-1200,https://vault.com/company-profiles/law/latham-watkins-llp,3K - 3.5K
Sullivan & Cromwell LLP,"125 Broad StreetNew York, NY 10004",(212) 558-4000,https://vault.com/company-profiles/law/sullivan-cromwell-llp,1K - 1.5K
Kirkland & Ellis,"333 West Wolf Point Plaza Chicago, IL 60654",(312) 862-2000,https://vault.com/company-profiles/law/kirkland-ellis,3.5K - 4K
